review_id,game,genre,platform,region,rating,review_text,playtime_hours,review_date,is_post_patch_window,user_id
100015,Apex Legends,Battle Royale,PC,LATAM,5,Big fan of how squad play turned out. Worth the price of entry.,40.8,2024-01-01,False,u_77095
100016,Apex Legends,Battle Royale,PC,North America,4,the store prices works as expected. Genuinely having a blast with friends.,113.1,2024-01-01,False,u_62353
100017,Apex Legends,Battle Royale,PS4,APAC,4,the UI feels great this week. Would recommend picking this up. Really enjoying graphics right now.,14.4,2024-01-01,False,u_65770
100018,Apex Legends,Battle Royale,Xbox Series X,North America,5,Honestly servers is in a good spot. Devs are clearly listening to feedback.,49.8,2024-01-01,False,u_98056
100019,Apex Legends,Battle Royale,PC,LATAM,4,"Been having a lot of fun, graphics is solid. Best it's felt in a while.",27.7,2024-01-01,False,u_66154
100020,Apex Legends,Battle Royale,PS5,APAC,5,the progression system feels great this week. Worth the price of entry. servers feels great this week.,8.7,2024-01-01,False,u_23626
100021,Apex Legends,Battle Royale,PC,North America,4,"Honestly servers is in a good spot. Some good moments, some frustrating ones. Really enjoying the store prices right now.",78.6,2024-01-01,False,u_66956
100022,Apex Legends,Battle Royale,Xbox Series X,EU,4,the store prices works as expected. Worth the price of entry. Big fan of how the new patch turned out.,59.7,2024-01-01,False,u_75968
100023,Apex Legends,Battle Royale,PS5,EU,4,Big fan of how balance turned out. Not sure if I'd recommend it at full price.,18.0,2024-01-01,False,u_49313
100024,Apex Legends,Battle Royale,PS4,APAC,4,Honestly the store prices is in a good spot. Worth the price of entry.,48.5,2024-01-01,False,u_38115
100025,Apex Legends,Battle Royale,PC,North America,5,"Been having a lot of fun, graphics is solid. Would recommend picking this up.",8.7,2024-01-01,False,u_84004
100026,Apex Legends,Battle Royale,PC,MEA,5,Honestly graphics is in a good spot. Would recommend picking this up.,69.5,2024-01-01,False,u_26371
100027,Apex Legends,Battle Royale,PC,APAC,4,"Been having a lot of fun, the store prices is solid. Does the job for a casual session. Big fan of how servers turned out.",16.9,2024-01-01,False,u_68660
100028,Apex Legends,Battle Royale,PS5,APAC,4,Honestly the UI is in a good spot. Does the job for a casual session. Honestly matchmaking is in a good spot.,26.6,2024-01-01,False,u_82608
100029,Apex Legends,Battle Royale,PS5,APAC,3,servers is a mess right now. Considering a refund at this point.,62.3,2024-01-01,False,u_74620
100040,Battlefield 2042,Shooter,PC,LATAM,3,"squad play is fine, nothing special. Does the job for a casual session. Honestly load times is in a good spot.",60.3,2024-01-01,False,u_94301
100041,Battlefield 2042,Shooter,PS5,North America,3,"balance works as expected. Wouldn't say it's great, wouldn't say it's bad.",187.8,2024-01-01,False,u_54804
100042,Battlefield 2042,Shooter,PC,EU,4,Big fan of how the UI turned out. Genuinely having a blast with friends. Big fan of how the UI turned out.,73.4,2024-01-01,False,u_97909
100043,Battlefield 2042,Shooter,Xbox Series X,EU,3,"balance is fine, nothing special. Losing patience with this game.",123.1,2024-01-01,False,u_82663
100044,Battlefield 2042,Shooter,PS5,North America,3,the progression system works as expected. Does the job for a casual session. Mixed feelings about squad play.,9.5,2024-01-01,False,u_23512
100045,Battlefield 2042,Shooter,PS4,EU,3,"graphics works as expected. Wouldn't say it's great, wouldn't say it's bad.",57.5,2024-01-01,False,u_14073
100046,Battlefield 2042,Shooter,PC,EU,3,"balance is okay I guess. Some good moments, some frustrating ones.",59.0,2024-01-01,False,u_42345
100047,Battlefield 2042,Shooter,PC,EU,3,Mixed feelings about the battle pass. Not sure if I'd recommend it at full price.,44.4,2024-01-01,False,u_14992
100048,Battlefield 2042,Shooter,Xbox Series X,MEA,3,Mixed feelings about graphics. Gets a bit repetitive after a while.,37.3,2024-01-01,False,u_21292
100049,Battlefield 2042,Shooter,Xbox One,North America,3,Big fan of how matchmaking turned out. Gets a bit repetitive after a while.,140.6,2024-01-01,False,u_79102
100050,Battlefield 2042,Shooter,Xbox One,EU,3,"the battle pass works as expected. Wouldn't say it's great, wouldn't say it's bad.",29.6,2024-01-01,False,u_20450
100051,Battlefield 2042,Shooter,PC,APAC,3,"matchmaking is okay I guess. Some good moments, some frustrating ones. the new patch works as expected.",13.0,2024-01-01,False,u_99484
100052,Battlefield 2042,Shooter,PS5,APAC,3,Mixed feelings about hit registration. Gets a bit repetitive after a while.,64.7,2024-01-01,False,u_30633
100053,Battlefield 2042,Shooter,PS5,EU,2,"balance is okay I guess. Lost progress because of it, not okay.",37.6,2024-01-01,False,u_86267
100054,Battlefield 2042,Shooter,PC,EU,2,Really frustraded with matchmaking lately. Considering a refund at this point.,42.0,2024-01-01,False,u_16931
100055,Battlefield 2042,Shooter,PC,North America,4,Big fan of how servers turned out. Genuinely having a blast with friends.,22.8,2024-01-01,False,u_47711
100001,EA SPORTS FC 25,Sports,PC,EU,4,"Been having a lot of fun, servers is solid. Devs are clearly listening to feedback.",21.0,2024-01-01,False,u_46380
100002,EA SPORTS FC 25,Sports,PS5,North America,5,Big fan of how load times turned out. Devs are clearly listening to feedback.,62.2,2024-01-01,False,u_59330
100003,EA SPORTS FC 25,Sports,PC,EU,4,Big fan of how servers turned out. Genuinely having a blast with friends.,23.8,2024-01-01,False,u_76948
100004,EA SPORTS FC 25,Sports,PC,APAC,4,Honestly the store prices is in a good spot. Genuinely having a blast with friends.,54.7,2024-01-01,False,u_71884
100005,EA SPORTS FC 25,Sports,PS5,North America,4,Honestly load times is in a good spot. Best it's felt in a while.,118.6,2024-01-01,False,u_38804
